x,y
-5.70,-10.7
-5.72,-15
-5.70,-15
-5.66,-15.1
-5.63,-15.1
-5.59,-15.1
-5.53,-15.2
-5.48,-15.2
-5.47,-15.3
-5.45,-15.4
-5.45,-15.3
-5.44,-10.1
-5.74,-10
