x,y
-4.68,-11.2
-4.67,-11.2
-4.66,-11.3
-4.63,-11.4
-4.62,-11.4
-4.62,-11
-4.61,-11.1
-4.59,-11
-4.60,-9.03
-4.59,-9.03
-4.59,-11
-4.58,-11.1
-4.58,-11.1
-4.56,-11.1
-4.56,-11.4
-4.55,-11.3
-4.55,-11.1
-4.55,-11
-4.55,-8.96
-4.68,-8.89
