x,y
-5.3548,-13.5887
-5.3241,-13.5887
-5.3241,-13.2884
-5.2447,-13.2884
-5.2447,-13.5068
-5.2080,-13.5068
-5.2018,-13.4249
-5.1835,-13.4249
-5.1835,-13.1246
-5.1345,-13.1246
-5.1345,-12.9698
-5.1162,-12.9698
-5.1223,-12.8881
-5.0795,-12.8881
-5.0795,-12.6878
-5.0367,-12.6878
-5.0428,-13.0246
-5.0061,-13.0246
-5.0061,-12.8245
-4.9266,-12.8245
-4.9326,-12.1146
-4.9083,-12.1146
-4.9020,-12.2421
-4.8289,-12.2511
-4.8289,-12.3330
-4.7921,-12.3330
-4.7981,-10.0401
-5.3548,-10.0218
