x,y
-2.50,-6.46
-2.43,-6.58
-2.39,-6.67
-2.34,-6.76
-2.29,-6.85
-2.24,-6.94
-2.20,-7.03
-2.15,-7.11
-2.09,-7.21
-1.98,-7.27
-1.88,-7.28
-1.85,-7.38
-1.78,-7.45
-1.68,-7.55
-1.58,-7.65
-1.50,-7.74
-1.43,-7.87
-1.28,-7.95
-1.03,-8.21
-0.945,-8.29
-0.860,-8.38
-0.776,-8.46
-0.692,-8.55
-0.608,-8.63
-0.524,-8.71
-0.439,-8.80
-0.355,-8.88
-0.271,-8.97
-0.187,-9.05
-0.103,-9.13
-0.0184,-9.22
0.0761,-9.30
0.166,-9.37
0.221,-9.45
0.253,-9.52
0.253,-6.34
-2.54,-6.31
